"","TIMESTAMP","STATION","TEMP2MAVG","TEMP2MMIN","TEMP2MMAX","RELHUM2MAVG","RELHUM2MMAX","RELHUM2MMIN","PRECIP","SRAVG","WSPD2MAVG","WDIR2M","SOILTMP5AVG","VWC5CM","VWC10CM","VWC20CM","VWC50CM"
"1","06/05/2024","Colby",21.01,15.3,28,65.58,94.43,29.05,4.06,287.58,2.92,51.83,22.27,0.30287,0.37053,0.41418,0.45311
"2","06/06/2024","Colby",22.84,11.51,33.54,56.44,95.41,15.33,0,323.43,2.95,232.4,22.1,0.29903,0.36593,0.41061,0.45181
"3","06/07/2024","Colby",20.86,13.68,27.93,48.43,77.04,26.34,0,344.4,2.62,90.1,22.91,0.29342,0.36169,0.40786,0.45052
"4","06/08/2024","Colby",23.94,14.96,37.2,62.38,92.24,21.98,0,282.63,4.39,180.24,22.97,0.28417,0.35619,0.40491,0.44963
"5","06/09/2024","Colby",21.23,15.43,27.4,72.8,98.48,44.73,4.83,291.12,4.14,52.55,23.52,0.27768,0.35245,0.40382,0.44948
"6","06/10/2024","Colby",18.62,14.08,24.49,73.08,98.85,43.84,0,285.68,2.45,102.63,22.18,0.27086,0.34815,0.4032,0.4497
"7","06/11/2024","Colby",19.95,11.92,27.2,58.87,91.74,30.88,0,332.75,4.33,169.82,21.66,0.26607,0.34435,0.40142,0.4493
"8","06/12/2024","Colby",22.85,14.28,30.56,59.67,92.67,31.35,0,330.73,3.21,180.2,23.09,0.26436,0.34192,0.39897,0.44831
"9","06/13/2024","Colby",27.71,17.61,38.7,44.16,84.24,9.02,0,347.34,3.56,212.34,24.61,0.26156,0.3392,0.39689,0.44764
"10","06/14/2024","Colby",27.87,17.27,37.27,41.67,64.54,13.7,0,295.74,3.17,13.22,25.35,0.25518,0.33449,0.39331,0.44737
"11","06/15/2024","Colby",22.89,17.88,30.58,61.79,90.39,32.51,1.52,241.43,4.15,122.45,24.41,0.24577,0.32848,0.38869,0.4476
"12","06/16/2024","Colby",24.38,16.93,33.41,55.84,91.44,21.51,0,311.22,2.66,170.78,24.23,0.23873,0.32367,0.38407,0.447
"13","06/17/2024","Colby",28.36,17.88,37,46.53,80.1,21.98,0,333.89,4.85,169.77,25.33,0.23235,0.31883,0.37822,0.44588
"14","06/18/2024","Colby",28.22,21.53,35.58,56.27,85.43,27.07,0.76,288.27,8.87,168.84,25.83,0.22344,0.31148,0.37071,0.44508
"15","06/19/2024","Colby",23.02,18.61,26.93,60.26,75.91,41.13,0,276.32,6.39,30.43,25.56,0.21315,0.30307,0.36337,0.44496
"16","06/20/2024","Colby",17.88,12.99,21.51,69.27,85.73,58.95,0,134.08,3.69,91.31,23.2,0.20042,0.29331,0.35675,0.44517
"17","06/21/2024","Colby",24.63,18.21,31.67,64.12,97.05,35.43,0.25,306.41,6.85,164.13,23.95,0.19553,0.28768,0.35246,0.44423
"18","06/22/2024","Colby",26.64,19.09,33.74,58.1,88.15,33.65,0,315.91,8.53,181.55,24.85,0.18936,0.28081,0.34859,0.4434
"19","06/23/2024","Colby",25.46,19.22,32.86,54.66,92.77,22.12,0,304.59,3.68,324.61,25.56,0.18131,0.27324,0.34416,0.4437
"20","06/24/2024","Colby",27.89,17.2,38.09,49.89,92.53,15.4,0,320.87,4.95,176.05,25.58,0.17146,0.26436,0.33794,0.44309
"21","06/25/2024","Colby",30,20.37,39.65,39.1,65.81,11.06,0,304.34,3.33,177.23,26.72,0.16323,0.25629,0.33097,0.44181
"22","06/26/2024","Colby",30.3,22.87,39.92,36.15,64.71,7.26,0,336.96,2.62,227.41,27.72,0.15486,0.24923,0.32469,0.44086
"23","06/27/2024","Colby",26.86,19.71,33.41,44.88,89.03,19.74,0,337.95,3.17,69.7,27.34,0.1449,0.24079,0.31801,0.44002
"24","06/28/2024","Colby",26.91,20.11,34.83,57.64,90.19,31,0.51,164.37,5.7,165.49,26.25,0.13665,0.23347,0.31284,0.43946
"25","06/29/2024","Colby",26.94,18.95,34.97,48.59,86.26,20.49,1.78,318.49,2.86,0.21,27,0.13696,0.22982,0.3091,0.43833
"26","06/30/2024","Colby",21.74,17.74,27.19,57.88,91.17,34.42,0.25,314.78,3.57,50.49,25.96,0.13204,0.22406,0.30517,0.4374
"27","07/01/2024","Colby",17.93,14.55,24.36,82.77,99.72,66.4,3.56,110.29,4.78,124.61,23.02,0.12849,0.21603,0.30028,0.43691
"28","07/02/2024","Colby",25.44,18.82,37.68,72.94,99.85,23.74,8.89,253.46,5.13,170.71,24.69,0.14807,0.21519,0.29823,0.43516
"29","07/03/2024","Colby",24.1,19.63,29.49,68.88,99.56,30.4,0,290.16,2.89,30.29,25.49,0.18541,0.21604,0.2977,0.43397
"30","07/04/2024","Colby",22.5,15.84,29.9,72.57,96.67,35.97,4.57,257.68,4.02,152.25,24.27,0.18392,0.21458,0.29591,0.43394
"31","07/05/2024","Colby",20.12,13.35,27.47,61.91,99.89,22.06,0,326.57,3.31,3.1,23.37,0.18426,0.21291,0.29337,0.43369
"32","07/06/2024","Colby",18.25,11.99,25.84,66.45,89.16,35.1,4.57,201.94,1.98,279.83,21.93,0.18514,0.21015,0.29038,0.43271
"33","07/07/2024","Colby",20.97,14.16,32.6,68.66,93.48,27.82,4.83,282.69,3.97,170.98,21.85,0.19834,0.21,0.28846,0.43137
"34","07/08/2024","Colby",17.54,14.48,22.86,83.03,97.42,48.34,2.29,127.19,2.49,261.19,20.86,0.21202,0.20977,0.28655,0.43076
"35","07/09/2024","Colby",20.63,13.01,28.07,56.73,93.89,23.55,0,338.43,2.28,338.33,22.11,0.22023,0.21271,0.28602,0.42919
"36","07/10/2024","Colby",22.98,11.85,31.78,52.12,92.83,22.32,0,338.76,1.8,177.42,22.79,0.21044,0.21531,0.28656,0.4267
"37","07/11/2024","Colby",25.45,16.39,33.95,46.79,81.45,17.77,0,332.33,2.02,97.04,23.92,0.20127,0.21747,0.28746,0.42403
"38","07/12/2024","Colby",25.05,14.23,33.74,54.35,97.59,21.44,0,329.66,2.28,105.45,24.44,0.19066,0.21855,0.28802,0.42146
"39","07/13/2024","Colby",28,17.61,36.93,43.7,78.33,16.89,0,322.99,2.87,137.17,24.89,0.1795,0.21875,0.28805,0.41796
"40","07/14/2024","Colby",28.38,16.66,38.56,40.35,72.39,17.64,0,328.63,1.96,349.17,25.44,0.17142,0.21847,0.28809,0.41386
"41","07/15/2024","Colby",27.52,18.42,37.14,51.76,84.65,20.28,0,316.99,3.4,213.58,25.78,0.1648,0.21829,0.28847,0.40976
"42","07/16/2024","Colby",30.52,19.5,38.56,34.67,61.34,16.89,0,317.94,2.22,2.47,26.25,0.15902,0.21806,0.28866,0.4039
"43","07/17/2024","Colby",25.53,19.37,33.21,58.5,81.61,31.14,0,251.27,2.33,78.22,26.3,0.15272,0.21728,0.28877,0.40044
"44","07/18/2024","Colby",22.75,16.79,29.77,67.21,95.92,38.48,1.02,262.41,2.94,91.26,25.65,0.14658,0.21525,0.2879,0.39962
"45","07/19/2024","Colby",23.7,16.25,31.65,63.45,96.2,31.56,0,318.71,2.97,149.96,25.06,0.14203,0.2131,0.28657,0.39783
"46","07/20/2024","Colby",22.72,16.06,32.8,68.79,97.94,35.69,41.91,228.87,4.74,172.9,24.16,0.17114,0.2365,0.30263,0.4047
"47","07/21/2024","Colby",21.46,16.32,27.73,74.22,99.93,43.85,0,199.89,2.9,17.87,21.34,0.35869,0.42747,0.45251,0.48859
"48","07/22/2024","Colby",21.27,14.89,27.46,66.34,96.94,35.02,0,239.08,1.89,18.36,22.67,0.33272,0.40868,0.43944,0.47372
"49","07/23/2024","Colby",21.15,14.76,27.73,68.87,96.88,35.29,1.27,263.91,1.54,68.1,23.57,0.32118,0.40295,0.43387,0.46863
"50","07/24/2024","Colby",22.54,14.76,30.17,64.07,97.16,28.43,0,276.83,0.86,205.68,24.25,0.30647,0.39896,0.43049,0.46575
"51","07/25/2024","Colby",24.97,16.25,33.54,53.96,87.5,19.74,0,289.32,1.95,191.13,24.83,0.28432,0.39443,0.42748,0.46366
"52","07/26/2024","Colby",25.5,15.37,33.41,50.81,89.82,21.78,0,287.27,2.55,163.78,25.04,0.25718,0.38797,0.42408,0.46214
"53","07/27/2024","Colby",25.84,17.47,33.34,49.36,76.9,27.69,0,302.66,5.73,163.69,25.03,0.23392,0.38047,0.41955,0.46074
"54","07/28/2024","Colby",26.3,20.31,33.21,54.03,73.75,32.63,0,286.89,6.62,164.79,25.57,0.21781,0.37309,0.41471,0.45966
"55","07/29/2024","Colby",25.64,16.93,35.03,58.78,90.76,27.41,0,306.44,2.56,87.79,26.85,0.20671,0.36431,0.40942,0.45845
"56","07/30/2024","Colby",27.3,18.63,35.03,51.86,83.56,29.1,0,302.68,1.79,113.67,27.13,0.1955,0.35096,0.40212,0.45764
"57","07/31/2024","Colby",29.24,18.36,40.05,45.19,83.02,7.94,0,312.2,1.42,321.47,27.44,0.18599,0.33255,0.39034,0.45675
"58","08/01/2024","Colby",27.03,17.47,36.73,53.91,88.59,27.54,0,299.05,1.9,148.05,27.82,0.17691,0.30797,0.37405,0.45571
"59","08/02/2024","Colby",25.93,15.3,35.51,54.65,96.07,21.17,0,292.76,1.97,82.49,27.22,0.16904,0.28521,0.35656,0.45474
"60","08/03/2024","Colby",27.11,17.2,35.44,49.51,86.01,24.36,0,295.02,2.47,180.14,27.3,0.16486,0.26749,0.34014,0.45349
"61","08/04/2024","Colby",27.24,21.39,34.08,44.96,68.52,25.71,0,261.84,3.14,179.83,27.19,0.16119,0.25409,0.32641,0.45295
"62","08/05/2024","Colby",27.12,15.44,36.66,47.38,91.31,15.26,0,305.43,4.3,192.71,26.72,0.15573,0.24407,0.31516,0.45248
"63","08/06/2024","Colby",29.93,21.26,39.38,38.73,61.87,15.06,0,286.76,3.58,178.64,27.35,0.15283,0.23714,0.30657,0.45148
"64","08/07/2024","Colby",22.39,16.52,29.02,66.59,93.21,40.11,0,150.91,3.17,71.29,26.26,0.14629,0.23123,0.30243,0.45155
