"","Timestamp","Chlorophyll.Index","Arable.Field.Evapotranspiration..mm.","Arable.Canopy.Evapotranspiration..mm.","Growing.Degree.Days","Accumulated.Growing.Degree.Days","NDVI","Minimum.Relative.Humidity","Relative.Humidity.at.Max.Temp","Relative.Humidity.at.Min.Temp","Shortwave.Downwelling.Radiation","Max.Temp","Mean.Temp","Min.Temp","Max.Dew.Point.Temp","Max.Temp.Time","Min.Temp.Time","Precipitation","Precipitation.Hours","Cumulative.Precipitation","Sea.Level.Pressure","Vapor.Pressure.Deficit","Crop.Coefficient","Leaf.Wetness..Hours.","Dew.Temp","Crop.Water.Demand..mm.day.","Sun.Duration","Wind.Direction","Wind.Speed","Wind.Direction.Degrees","Max.Wind.Speed","Min.Wind.Speed"
"1","06/05/2024",0.31,0.28,0.02,19,365,0.16,21,24,94,30,91,73,52,63,"2024-06-05T17:00:00Z","2024-06-05T04:15:00Z",0,1,0.23,1008,16,0.06,5,54,0,12.9,"SSW",2,201,4,0
"2","06/06/2024",0.3,0.28,0.02,22,387,0.16,28,28,74,32,86,71,58,57,"2024-06-06T17:25:00Z","2024-06-06T06:05:00Z",0,2,0.25,1014,15,0.07,0,49,0,13,"E",2,87,4,0
"3","06/07/2024",0.34,0.27,0.02,23,410,0.18,28,28,73,27,98,75,60,67,"2024-06-07T18:25:00Z","2024-06-07T01:55:00Z",0,1,0.26,1007,14,0.09,1,60,0,10.6,"S",3,170,5,0
"4","06/08/2024",0.35,0.23,0.02,21,431,0.19,49,49,88,28,81,71,61,65,"2024-06-08T15:40:00Z","2024-06-08T23:30:00Z",0.1,3,0.39,1010,8,0.1,8,61,0,10.6,"ESE",4,122,6,0
"5","06/09/2024",0.37,0.23,0.02,17,448,0.19,48,49,97,28,77,66,58,58,"2024-06-09T17:05:00Z","2024-06-09T05:45:00Z",0,0,0.39,1017,7,0.11,8,56,0,10.8,"E",2,101,3,1
"6","06/10/2024",0.4,0.26,0.03,17,465,0.21,35,37,92,31,81,68,54,56,"2024-06-10T15:40:00Z","2024-06-10T05:05:00Z",0,0,0.39,1015,11,0.14,2,53,0,13,"SSE",3,165,6,1
"7","06/11/2024",0.41,0.29,0.04,22,487,0.21,36,36,92,31,88,73,58,61,"2024-06-11T15:30:00Z","2024-06-11T07:00:00Z",0,0,0.39,1011,14,0.14,4,58,0,11.9,"S",2,189,4,0
"8","06/12/2024",0.42,0.33,0.05,25,512,0.22,14,16,86,33,100,81,63,62,"2024-06-12T15:40:00Z","2024-06-12T06:15:00Z",0,0,0.39,1007,25,0.14,0,55,0,13,"SSW",3,204,5,1
"9","06/13/2024",0.42,0.3,0.04,24,536,0.22,18,18,73,28,100,82,62,65,"2024-06-13T13:25:00Z","2024-06-13T07:00:00Z",0,0,0.39,1008,24,0.14,0,56,0,12.2,"SSE",3,151,4,1
"10","06/14/2024",0.6,0.22,0.03,25,561,0.28,36,39,77,23,89,74,64,64,"2024-06-14T13:25:00Z","2024-06-14T08:30:00Z",0.1,1,0.47,1013,12,0.24,0,59,0,10.2,"ESE",3,112,6,2
"11","06/15/2024",0.58,0.29,0.07,24,585,0.28,26,26,85,30,95,76,62,62,"2024-06-15T18:00:00Z","2024-06-15T02:15:00Z",0,0,0.47,1005,16,0.24,2,59,0,12.4,"S",2,177,4,0
"12","06/16/2024",0.61,0.33,0.08,25,610,0.29,27,29,69,32,100,83,64,66,"2024-06-16T16:20:00Z","2024-06-16T03:10:00Z",0,0,0.47,1000,23,0.25,0,60,0,12.8,"S",3,176,6,1
"13","06/17/2024",0.73,0.29,0.07,28,638,0.33,32,34,85,28,97,83,71,68,"2024-06-17T17:35:00Z","2024-06-17T06:45:00Z",0,0,0.47,996,19,0.31,0,65,0,12.2,"SSE",6,168,9,4
"14","06/18/2024",0.73,0.23,0.07,23,662,0.32,45,45,69,27,80,74,67,66,"2024-06-18T18:00:00Z","2024-06-18T23:55:00Z",0,0,0.47,1003,11,0.3,0,60,0,12,"ESE",5,118,8,3
"15","06/19/2024",0.95,0.12,0.04,13,675,0.39,61,64,81,14,72,65,55,60,"2024-06-19T19:10:00Z","2024-06-19T09:45:00Z",0.1,5,0.54,1020,6,0.4,0,54,0,9.2,"E",3,85,5,2
"16","06/20/2024",1.08,0.28,0.11,26,701,0.43,39,40,92,29,89,76,65,67,"2024-06-20T16:50:00Z","2024-06-20T04:15:00Z",0.1,6,0.62,1017,13,0.46,4,62,0,12.8,"SSE",4,160,7,2
"17","06/21/2024",1.06,0.29,0.13,26,727,0.43,38,42,87,29,94,80,66,68,"2024-06-21T10:55:00Z","2024-06-21T06:10:00Z",0.2,8,0.83,1011,16,0.46,0,64,0,12.2,"S",5,181,8,3
"18","06/22/2024",1.03,0.29,0.13,27,753,0.42,29,29,90,30,90,78,67,66,"2024-06-22T17:00:00Z","2024-06-22T05:50:00Z",0,2,0.84,1010,16,0.43,2,60,0,12,"WSW",3,247,5,1
"19","06/23/2024",1.03,0.34,0.15,25,778,0.42,21,21,87,32,101,82,63,66,"2024-06-23T16:15:00Z","2024-06-23T03:10:00Z",0,0,0.84,1010,23,0.44,2,59,0,12.8,"S",3,178,5,1
"20","06/24/2024",1.03,0.34,0.15,27,805,0.42,16,16,68,30,106,86,68,63,"2024-06-24T16:40:00Z","2024-06-24T06:20:00Z",0,0,0.84,1005,29,0.44,0,58,0,11.5,"S",2,177,4,2
"21","06/25/2024",1.07,0.36,0.16,29,834,0.43,15,20,54,33,101,86,72,64,"2024-06-25T15:05:00Z","2024-06-25T23:55:00Z",0,0,0.84,1005,28,0.45,0,57,0,12.9,"SSW",2,195,4,0
"22","06/26/2024",1.14,0.34,0.15,27,861,0.44,26,30,80,33,92,80,68,66,"2024-06-26T16:00:00Z","2024-06-26T06:50:00Z",0,0,0.84,1011,20,0.47,0,57,0,12.9,"ENE",3,63,5,2
"23","06/27/2024",1.55,0.19,0.1,27,888,0.54,35,36,87,16,94,80,69,68,"2024-06-27T15:05:00Z","2024-06-27T07:35:00Z",0.2,10,1.01,1005,16,0.61,0,64,0,9.7,"SSE",4,159,6,2
"24","06/28/2024",1.27,0.32,0.19,27,915,0.47,25,27,82,31,96,80,68,65,"2024-06-28T17:25:00Z","2024-06-28T23:10:00Z",0.1,3,1.09,1001,19,0.51,0,60,0,12,"S",2,180,5,2
"25","06/29/2024",1.45,0.27,0.14,22,938,0.51,41,41,90,30,81,71,64,65,"2024-06-29T16:50:00Z","2024-06-29T04:45:00Z",0.1,3,1.2,1017,11,0.57,4,56,0,11.8,"E",3,90,5,1
"26","06/30/2024",2.24,0.09,0.06,17,955,0.65,65,69,90,11,77,64,58,66,"2024-06-30T17:30:00Z","2024-06-30T10:25:00Z",0.1,1,1.31,1022,4,0.77,8,58,0,9.5,"ESE",4,117,5,2
"27","07/01/2024",1.88,0.26,0.2,26,981,0.6,28,29,95,25,100,78,65,70,"2024-07-01T15:35:00Z","2024-07-01T00:00:00Z",1,7,2.29,1008,12,0.69,12,67,1,10.4,"SSE",3,167,8,2
"28","07/02/2024",2.08,0.27,0.19,26,1007,0.62,40,40,97,28,84,75,68,69,"2024-07-02T19:00:00Z","2024-07-02T06:45:00Z",0,0,2.29,1008,9,0.73,10,65,0,12,"SE",2,145,4,0
"29","07/03/2024",1.97,0.24,0.18,23,1030,0.61,42,44,85,25,85,73,61,68,"2024-07-03T15:30:00Z","2024-07-03T20:40:00Z",0.3,3,2.6,1012,9,0.71,8,63,0,9.8,"SSE",3,166,6,2
"30","07/04/2024",1.85,0.28,0.2,18,1048,0.59,33,35,98,32,80,68,56,60,"2024-07-04T17:40:00Z","2024-07-04T05:15:00Z",0,2,2.62,1016,9,0.69,9,54,0,12.3,"SSE",3,165,4,1
"31","07/05/2024",2.67,0.17,0.12,16,1064,0.71,44,45,93,19,79,64,53,59,"2024-07-05T18:10:00Z","2024-07-05T06:20:00Z",0.2,4,2.85,1020,7,0.86,6,54,0,11.6,"WSW",2,248,4,1
"32","07/06/2024",1.86,0.25,0.21,22,1085,0.62,34,34,92,27,90,70,57,65,"2024-07-06T13:35:00Z","2024-07-06T06:15:00Z",0.2,1,3.03,1012,9,0.73,3,59,0,11.8,"S",3,170,6,1
"33","07/07/2024",2.76,0.11,0.08,16,1101,0.72,57,59,97,13,74,63,57,61,"2024-07-07T18:10:00Z","2024-07-07T05:05:00Z",0.1,7,3.17,1016,3,0.87,15,59,0,9.2,"SW",2,232,4,1
